CO,Name,Value
17,Upper Lake Unified,17534584.38
18,Big Valley Joint Unified,2803533.43
18,Janesville Union Elementary,4662439.96
18,Johnstonville Elementary,2414432.61
18,Lassen Union High,12395493.7
18,Ravendale-Termo Elementary,311624.56
18,Richmond Elementary,2301989.02
18,Shaffer Union Elementary,2985466.58
18,Susanville Elementary,12935265.48
18,Westwood Unified,3140453.49
18,Fort Sage Unified,3171120.7
19,ABC Unified,291143386.1
19,Antelope Valley Union High,328964654.8
19,Arcadia Unified,139132267.7
19,Azusa Unified,132742301.8
19,Baldwin Park Unified,184383422.6
19,Bassett Unified,51193291.44
19,Bellflower Unified,189329529.1
19,Beverly Hills Unified,89581650.04
19,Bonita Unified,140336861.8
19,Burbank Unified,202406395.1
19,Castaic Union Elementary,28454714.33
19,Centinela Valley Union High,121235237
19,Charter Oak Unified,72567070.87
19,Claremont Unified,95399811.81
19,Covina-Valley Unified,190604257.1
19,Culver City Unified,111084904.7
19,Downey Unified,382884376.3
19,Duarte Unified,50080652.35
19,Eastside Union Elementary,54286836.4
19,East Whittier City Elementary,131282933.8
19,El Monte City Elementary,153305482
19,El Monte Union High,147767360
19,El Rancho Unified,124786882.1
19,El Segundo Unified,48200706.6
19,Garvey Elementary,84914101.51
19,Glendale Unified,396469392.9
19,Glendora Unified,88106587.98
19,Gorman Joint,1456826.2
19,Hawthorne Elementary,122917283.6
19,Hermosa Beach City Elementary,17485926.63
19,Hughes-Elizabeth Lakes Union Elementary,2134127.57
19,Inglewood Unified,151309417.7
19,Keppel Union Elementary,41564190.77
19,La Canada Unified,61976865.51
19,Lancaster Elementary,232660580.7
19,Las Virgenes Unified,147601195.9
19,Lawndale Elementary,96450198.53
19,Lennox Elementary,82091151.71
19,Little Lake City Elementary,64677009.96
19,Long Beach Unified,1169789280
19,Los Angeles Unified,9214333548
19,Los Nietos Elementary,24932657.06
19,Lynwood Unified,230332617.7
19,Monrovia Unified,80726371.95
19,Montebello Unified,459355571.4
19,Mountain View Elementary,101076017.6
19,Newhall Elementary,80672966.26
19,Norwalk-La Mirada Unified,284039859.5
19,Palmdale Elementary,291797125.6
19,Palos Verdes Peninsula Unified,151287491.1
19,Paramount Unified,253002338
19,Pasadena Unified,290620370.4
19,Pomona Unified,349440748.3
19,Rosemead Elementary,40842712.08
19,San Marino Unified,43920558.94
19,Santa Monica-Malibu Unified,203010875.8
19,Saugus Union Elementary,125728987.1
19,South Pasadena Unified,67038212.02
19,South Whittier Elementary,49866950.24
19,Sulphur Springs Union Elementary,78148651.09
19,Temple City Unified,81058446.77
19,Torrance Unified,300716463.9
19,Valle Lindo Elementary,15007307.13
19,West Covina Unified,138642834.7
19,Westside Union Elementary,113237697.9
19,Whittier City Elementary,97513529.09
19,Whittier Union High,208068070.3
19,William S. Hart Union High,308111047.6
19,Wilsona Elementary,23964579.05
19,Compton Unified,324894079.6
19,Hacienda La Puente Unified,265236105.8
19,Rowland Unified,225873033
19,Walnut Valley Unified,180912217.6
19,San Gabriel Unified,78502498.65
19,Acton-Agua Dulce Unified,18682392.53
19,Manhattan Beach Unified,97585241.5
19,Redondo Beach Unified,123248137.5
19,Alhambra Unified,267633496.3
19,Wiseburn Unified,36752702.18
20,Alview-Dairyland Union Elementary,5425792.94
20,Bass Lake Joint Union Elementary,14499517.71
20,Chowchilla Elementary,35433303.31
20,Chowchilla Union High,17274837.78
20,Madera Unified,353027920.7
20,Raymond-Knowles Union Elementary,1142452.47
20,Golden Valley Unified,31473569.66
20,Chawanakee Unified,17024427.67
20,Yosemite Unified,21467840.86
21,Bolinas-Stinson Union Elementary,5554972.38
21,Miller Creek Elementary,30570570.01
21,Kentfield Elementary,20078765.41
21,Laguna Joint Elementary,587172.9
21,Lagunitas Elementary,3928226.16
21,Larkspur-Corte Madera,21597284.38
21,Mill Valley Elementary,49461584.22
21,Nicasio Elementary,1125467.95
21,Novato Unified,109365960.5
21,Reed Union Elementary,24966754.15
21,Ross Elementary,9924907.5
21,San Rafael City Elementary,75868907.43
21,San Rafael City High,45760701.57
21,Sausalito Marin City Elementary,10416508.92
21,Tamalpais Union High,104785193.9
21,Shoreline Unified,16696894.91
21,Ross Valley Elementary,27606877.87
22,Mariposa County Unified,26696811.55
23,Anderson Valley Unified,8930705.19
23,Fort Bragg Unified,27185528.8
23,Manchester Union Elementary,917404.95
23,Mendocino Unified,10246312.63
23,Round Valley Unified,10290037.87
23,Ukiah Unified,101764816.9
23,Willits Unified,25885219.5
23,Potter Valley Community Unified,5159584.76
23,Laytonville Unified,5734457.85
23,Leggett Valley Unified,3241987.08
23,Arena Union Elementary/Point Arena Joint Union High,9596789.99
24,Atwater Elementary,71144612.78
24,Ballico-Cressey Elementary,1555955.64
24,El Nido Elementary,2950587.92
24,Hilmar Unified,33137443.15
24,Le Grand Union Elementary,6884160.25
24,Le Grand Union High,10649552.74
24,Livingston Union Elementary,37018863.25
24,Los Banos Unified,172096768.3
24,McSwain Union Elementary,11449763.75
24,Merced City Elementary,153741653.4
24,Merced Union High,174005806.1
24,Plainsburg Union Elementary,1504854.16
24,Planada Elementary,15332536.92
24,Snelling-Merced Falls Union Elementary,1068043.74
24,Weaver Union Elementary,48119943.76
24,Winton Elementary,30396600.09
24,Gustine Unified,29941306.85
24,Merced River Union Elementary,3270812.37
24,Dos Palos Oro Loma Joint Unified,40325638.22
24,Delhi Unified,42967134.71
25,Surprise Valley Joint Unified,1990862.65
25,Modoc Joint Unified,12585386.46
25,Tulelake Basin Joint Unified,7701945.3
26,Eastern Sierra Unified,11933978.7
26,Mammoth Unified,18133833.66
27,Alisal Union Elementary,124088989.4
27,Bradley Union Elementary,992799.26
27,Carmel Unified,74655806.11
27,Chualar Union Elementary,5390801.67
27,Graves Elementary,613341.12
27,Greenfield Union Elementary,55338330.03
27,King City Union Elementary,40293680.47
27,South Monterey County Joint Union High,41124785.04
27,Lagunita Elementary,1149869.77
27,Mission Union Elementary,1688750.37
27,Monterey Peninsula Unified,160312077.2
27,Pacific Grove Unified,43481574.72
27,Salinas City Elementary,159903553.6
27,Salinas Union High,288340048.3
27,San Antonio Union Elementary,2016709.43
27,San Ardo Union Elementary,2249030.36
27,San Lucas Union Elementary,1908605.96
27,Santa Rita Union Elementary,49721725.19
27,Spreckels Union Elementary,11191919.43
27,Washington Union Elementary,10046592.08
27,North Monterey County Unified,85029637.5
27,Big Sur Unified,958818.68
27,Soledad Unified,77441064.47
27,Gonzales Unified,38174158.12
28,Calistoga Joint Unified,22638405.48
28,Howell Mountain Elementary,2124235.34
28,Napa Valley Unified,225735928.5
28,Pope Valley Union Elementary,1741248.72
28,Saint Helena Unified,41582559.34
29,Chicago Park Elementary,2106989.06
29,Clear Creek Elementary,1948439.36
29,Grass Valley Elementary,18460510.95
29,Nevada City Elementary,10454252.65
29,Nevada Joint Union High,44499596.56
29,Pleasant Ridge Union Elementary,18315722.43
29,Union Hill Elementary,8642756.08
29,Twin Ridges Elementary,2529213.69
29,Penn Valley Union Elementary,7486676.37
30,Lowell Joint Elementary,38700511.47
30,Anaheim Elementary,306482402.1
30,Anaheim Union High,466145798.2
30,Brea-Olinda Unified,88179254.18
30,Buena Park Elementary,71700896.09
30,Capistrano Unified,630103847.2
30,Centralia Elementary,62087732.78
30,Cypress Elementary,52353358.78
30,Fountain Valley Elementary,83899330.66
30,Fullerton Elementary,190532751.3
30,Fullerton Joint Union High,192622863.5
30,Garden Grove Unified,729069625.2
30,Huntington Beach City Elementary,76252781.07
30,Huntington Beach Union High,230810102.8
30,Laguna Beach Unified,72703023.23
30,La Habra City Elementary,79025750.45
30,Magnolia Elementary,89628449.3
30,Newport-Mesa Unified,391557876.5
30,Ocean View Elementary,107466955.2
30,Orange Unified,341475365.7
30,Placentia-Yorba Linda Unified,339785177.5
30,Santa Ana Unified,836946479.6
30,Savanna Elementary,31423788.21
30,Westminster Elementary,147190706.5
30,Saddleback Valley Unified,347872288
30,Tustin Unified,322387879.7
30,Irvine Unified,498577736.8
30,Los Alamitos Unified,129407321.4
31,Ackerman Charter,6687174.92
